siteID,plotID,collectDate,taxonID,tagID,sex,lifeStage,larvalTicksAttached,adultTicksAttached
HARV,HARV_008,2017-05-16,GLVO,NEON.MAM.D01.O008C3170516,F,adult,U,U
HARV,HARV_008,2017-05-16,PELE,NEON.MAM.D01.R2936,F,adult,N,N
HARV,HARV_008,2017-05-16,TAST,NEON.MAM.D01.R1211,M,adult,N,N
HARV,HARV_021,2017-05-16,PELE,NEON.MAM.D01.R3133,F,juvenile,N,N
HARV,HARV_021,2017-05-16,PELE,NEON.MAM.D01.R3510,F,juvenile,N,N
HARV,HARV_008,2017-05-16,MYGA,NEON.MAM.D01.L2689,F,adult,N,N
HARV,HARV_008,2017-05-16,PEMA,NEON.MAM.D01.O00868170516,F,adult,U,U
HARV,HARV_021,2017-05-16,MYGA,NEON.MAM.D01.R2296,F,adult,U,U
HARV,HARV_008,2017-05-16,PEMA,NEON.MAM.D01.R2608,M,adult,N,N
HARV,HARV_021,2017-05-16,PEMA,NEON.MAM.D01.R2851,F,adult,N,N
HARV,HARV_023,2017-05-16,TAST,NEON.MAM.D01.R2523,F,adult,Y,N
HARV,HARV_023,2017-05-16,PELE,NEON.MAM.D01.R3058,F,adult,U,U
HARV,HARV_023,2017-05-16,MYGA,NEON.MAM.D01.R3514,F,adult,N,N
HARV,HARV_023,2017-05-16,PESP,NEON.MAM.D01.R3505,F,adult,Y,N
HARV,HARV_023,2017-05-17,TAST,NEON.MAM.D01.R3572,F,adult,N,N
HARV,HARV_021,2017-05-17,PEMA,NEON.MAM.D01.R3140,M,adult,N,N
HARV,HARV_023,2017-05-17,PEMA,NEON.MAM.D01.R3211,F,adult,N,N
HARV,HARV_023,2017-05-17,TAST,NEON.MAM.D01.L3311,M,adult,N,N
HARV,HARV_021,2017-05-17,PEMA,NEON.MAM.D01.R3103,F,juvenile,N,N
HARV,HARV_021,2017-05-17,TAST,NEON.MAM.D01.L3258,M,adult,N,N
HARV,HARV_021,2017-05-17,PELE,NEON.MAM.D01.R2881,F,adult,N,N
HARV,HARV_021,2017-05-17,MYGA,NEON.MAM.D01.R3223,F,juvenile,N,N
HARV,HARV_021,2017-05-17,TAST,NEON.MAM.D01.R2186,F,adult,N,N
HARV,HARV_021,2017-05-17,TAST,NEON.MAM.D01.L3303,F,adult,N,N
HARV,HARV_008,2017-05-17,PEMA,NEON.MAM.D01.R3072,M,adult,N,N
HARV,HARV_021,2017-05-18,SOCI,NEON.MAM.D01.O021B3170518,F,adult,U,U
HARV,HARV_021,2017-05-18,MYGA,NEON.MAM.D01.R3223,F,juvenile,N,N
HARV,HARV_021,2017-05-18,MYGA,NEON.MAM.D01.R3507,M,adult,N,Y
HARV,HARV_021,2017-05-18,TAST,NEON.MAM.D01.R3515,M,adult,N,N
HARV,HARV_021,2017-05-18,TAST,NEON.MAM.D01.R3286,M,adult,N,N
