uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,samplingImpractical,collectDate,eventID,sampleID,sampleCode,samplingMethod,totalSampledArea,targetTaxaPresent,adultCount,nymphCount,larvaCount,sampleCondition,samplingProtocolVersion,measuredBy,remarks,publicationDate,release
9f71fa32-4c70-4dd3-85bc-1af5a3f1a435,HARV_022.tickPlot.tck,D01,HARV,HARV_022,distributed,evergreenForest,42.435458,-72.199287,WGS84,20.2,185.9,0.5,NA,2017-04-17T13:20:00Z,HARV.2017.16,NA,NA,drag,160,N,0,0,0,No known compromise,NEON.DOC.014045vG,ramundson@field-ops.org,NA,20201217T234732Z,RELEASE-2021
46cf4fe1-dae9-4d70-914a-eff617c0e930,HARV_006.tickPlot.tck,D01,HARV,HARV_006,distributed,deciduousForest,42.401928,-72.2527,WGS84,20.3,190.8,0.5,NA,2017-04-17T14:53:00Z,HARV.2017.16,HARV_006.20170417,NA,drag,160,Y,0,1,0,No known compromise,NEON.DOC.014045vG,ramundson@field-ops.org,NA,20201217T234732Z,RELEASE-2021
ec8a2a50-9f7f-46ce-8471-54acca8f3d3a,HARV_026.tickPlot.tck,D01,HARV,HARV_026,distributed,evergreenForest,42.412057,-72.246527,WGS84,20.2,187.3,0.4,NA,2017-04-17T16:34:00Z,HARV.2017.16,NA,NA,drag and flag,160,N,0,0,0,No known compromise,NEON.DOC.014045vG,ramundson@field-ops.org,NA,20201217T234732Z,RELEASE-2021
d6139a73-240a-4802-ba2e-5923adc90dc5,HARV_001.tickPlot.tck,D01,HARV,HARV_001,distributed,deciduousForest,42.424217,-72.260096,WGS84,20.1,202.1,0.2,NA,2017-04-17T18:34:00Z,HARV.2017.16,NA,NA,drag and flag,160,N,0,0,0,No known compromise,NEON.DOC.014045vG,thillman@battelleecology.org,NA,20201217T234732Z,RELEASE-2021
72134252-f3bb-417d-8127-7d94ddff127d,HARV_004.tickPlot.tck,D01,HARV,HARV_004,distributed,mixedForest,42.426877,-72.227953,WGS84,20.4,182.6,0.9,NA,2017-04-18T16:59:00Z,HARV.2017.16,NA,NA,drag,160,N,0,0,0,No known compromise,NEON.DOC.014045vG,thillman@battelleecology.org,NA,20201217T234732Z,RELEASE-2021
6d321ee1-b044-4956-a6a3-adf3711ac2c3,HARV_020.tickPlot.tck,D01,HARV,HARV_020,distributed,woodyWetlands,42.438157,-72.228923,WGS84,20.2,228.3,0.3,NA,2017-04-18T18:17:00Z,HARV.2017.16,HARV_020.20170418,NA,drag and flag,150,Y,1,1,0,No known compromise,NEON.DOC.014045vG,thillman@battelleecology.org,NA,20201217T234732Z,RELEASE-2021
b037ad0c-41ac-4baa-a160-013f3a954203,HARV_022.tickPlot.tck,D01,HARV,HARV_022,distributed,evergreenForest,42.435458,-72.199287,WGS84,20.2,185.9,0.5,NA,2017-05-08T14:24:00Z,HARV.2017.20,HARV_022.20170508,NA,drag,160,Y,0,4,0,Other (described in remarks),NEON.DOC.014045vG,bhudson@battelleecology.org,1 tick lost when transferring from cloth to vial,20201217T234805Z,RELEASE-2021
a598e01b-6060-4845-b451-ac5ea23df40b,HARV_006.tickPlot.tck,D01,HARV,HARV_006,distributed,deciduousForest,42.401928,-72.2527,WGS84,20.3,190.8,0.5,NA,2017-05-08T16:31:00Z,HARV.2017.20,NA,NA,drag,160,N,0,0,0,No known compromise,NEON.DOC.014045vG,bhudson@battelleecology.org,NA,20201217T234805Z,RELEASE-2021
5d97326b-9e8a-4f65-8e09-d1ae15870ffb,HARV_026.tickPlot.tck,D01,HARV,HARV_026,distributed,evergreenForest,42.412057,-72.246527,WGS84,20.2,187.3,0.4,NA,2017-05-08T17:48:00Z,HARV.2017.20,HARV_026.20170508,NA,drag and flag,160,Y,2,1,0,No known compromise,NEON.DOC.014045vG,Wacuna@battelleecology.org,NA,20201217T234805Z,RELEASE-2021
b874d9ed-af2f-49bc-896a-f36a85cb6d1a,HARV_020.tickPlot.tck,D01,HARV,HARV_020,distributed,woodyWetlands,42.438157,-72.228923,WGS84,20.2,228.3,0.3,NA,2017-05-09T13:29:00Z,HARV.2017.20,HARV_020.20170509,NA,drag,145,Y,3,1,0,No known compromise,NEON.DOC.014045vG,Mbara@battelleecology.org,NA,20201217T234805Z,RELEASE-2021
