uid,namedLocation,plotID,collectDate,identifiedDate,sampleID,subsampleID,scientificName,acceptedTaxonID,taxonRank,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,identificationQualifier,identificationReferences,identificationProtocolVersion,scientificNameAuthorship,sexOrAge,individualCount,sampleCondition,archiveMedium,archiveFacilityID,deprecatedVialID,identifiedBy,laboratoryName,remarks,publicationDate,release
ff68f46d-1f4b-4411-9b62-b2f8811643c0,SCBI_007.tickPlot.tck,SCBI_007,2017-03-23T16:39:00Z,2018-01-30T17:00:00Z,SCBI_007.20170323,SCBI_007.20170323.IXOSCA.F,Ixodes scapularis,IXOSCA,species,Ixodidae,NA,NA,NA,Ixodes,NA,scapularis,NA,NA,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.",GSU_tickIdentification_SOP_2016-11-01.pdf,Say,Female,2,OK,90% ethanol,USNMENT00984964,SCBI_007.20170323.IXOSCA.F,Lorenza Beati,Georgia Southern University,RNA,20201217T223953Z,RELEASE-2021
5672346b-317f-41fe-9cbc-12033223a4cd,SCBI_039.tickPlot.tck,SCBI_039,2017-04-10T12:56:00Z,2018-01-30T17:00:00Z,SCBI_039.20170410,SCBI_039.20170410.DERVAR.F,Dermacentor variabilis,DERVAR,species,Ixodidae,NA,NA,NA,Dermacentor,NA,variabilis,NA,NA,"Yunker, C. E., Keirans, J. E., Clifford, C. M., and E. R. Easton. 1986. Dermacentor ticks (Acari: Ixodoidea: Ixodidae) of the New World: a scanning electron microscope atlas. Proceedings of the Entomological Society of Washington, 88(4):609-627.",GSU_tickIdentification_SOP_2016-11-01.pdf,Say,Female,1,OK,90% ethanol,USNMENT00984966,SCBI_039.20170410.DERVAR.F,Lorenza Beati,Georgia Southern University,RNA,20201217T223929Z,RELEASE-2021
1a90213e-5fa0-4d16-a708-3d2897d1f1c1,SCBI_006.tickPlot.tck,SCBI_006,2017-04-10T13:52:00Z,2018-01-30T17:00:00Z,SCBI_006.20170410,SCBI_006.20170410.DERVAR.M,Dermacentor variabilis,DERVAR,species,Ixodidae,NA,NA,NA,Dermacentor,NA,variabilis,NA,NA,"Yunker, C. E., Keirans, J. E., Clifford, C. M., and E. R. Easton. 1986. Dermacentor ticks (Acari: Ixodoidea: Ixodidae) of the New World: a scanning electron microscope atlas. Proceedings of the Entomological Society of Washington, 88(4):609-627.",GSU_tickIdentification_SOP_2016-11-01.pdf,Say,Male,1,OK,90% ethanol,USNMENT00984968,SCBI_006.20170410.DERVAR.M,Lorenza Beati,Georgia Southern University,RNA,20201217T223929Z,RELEASE-2021
dac61aac-1e68-4192-a755-41a0da13472c,SCBI_006.tickPlot.tck,SCBI_006,2017-04-10T13:52:00Z,2018-01-30T17:00:00Z,SCBI_006.20170410,SCBI_006.20170410.AMBAME.M,Amblyomma americanum,AMBAME,species,Ixodidae,NA,NA,NA,Amblyomma,NA,americanum,NA,NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.",GSU_tickIdentification_SOP_2016-11-01.pdf,Linnaeus,Male,1,OK,90% ethanol,USNMENT01430095,SCBI_006.20170410.AMBAME.M,Lorenza Beati,Georgia Southern University,RNA,20201217T223929Z,RELEASE-2021
4475fe09-6a56-498c-afd7-4382a750e29b,SCBI_005.tickPlot.tck,SCBI_005,2017-04-10T15:02:00Z,2018-01-30T17:00:00Z,SCBI_005.20170410,SCBI_005.20170410.IXOSCA.N,Ixodes scapularis,IXOSCA,species,Ixodidae,NA,NA,NA,Ixodes,NA,scapularis,NA,NA,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.",GSU_tickIdentification_SOP_2016-11-01.pdf,Say,Nymph,1,OK,90% ethanol,USNMENT00984976,SCBI_005.20170410.IXOSCA.N,Lorenza Beati,Georgia Southern University,RNA,20201217T223929Z,RELEASE-2021
a7ea0818-fda8-4379-bd4b-ae69ef85da97,SCBI_005.tickPlot.tck,SCBI_005,2017-04-10T15:02:00Z,2018-01-30T17:00:00Z,SCBI_005.20170410,SCBI_005.20170410.AMBAME.M,Amblyomma americanum,AMBAME,species,Ixodidae,NA,NA,NA,Amblyomma,NA,americanum,NA,NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.",GSU_tickIdentification_SOP_2016-11-01.pdf,Linnaeus,Male,1,OK,90% ethanol,USNMENT00984975,SCBI_005.20170410.AMBAME.M,Lorenza Beati,Georgia Southern University,RNA,20201217T223929Z,RELEASE-2021
c3d1ef80-de90-405f-ae9d-927f603ae3b3,SCBI_007.tickPlot.tck,SCBI_007,2017-04-10T17:20:00Z,2018-01-30T17:00:00Z,SCBI_007.20170410,SCBI_007.20170410.AMBAME.F,Amblyomma americanum,AMBAME,species,Ixodidae,NA,NA,NA,Amblyomma,NA,americanum,NA,NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.",GSU_tickIdentification_SOP_2016-11-01.pdf,Linnaeus,Female,1,OK,90% ethanol,USNMENT00984969,SCBI_007.20170410.AMBAME.F,Lorenza Beati,Georgia Southern University,RNA,20201217T223929Z,RELEASE-2021
df6ca614-5a0e-49e6-8eab-4bac84286ea7,SCBI_007.tickPlot.tck,SCBI_007,2017-04-10T17:20:00Z,2018-09-15T17:00:00Z,SCBI_007.20170410,SCBI_007.20170410.HAELON.N,Haemaphysalis longicornis,HAELON,species,Ixodidae,NA,NA,NA,Haemaphysalis,NA,longicornis,NA,NA,NA,GSU_tickIdentification_SOP_2016-11-01.pdf,NA,Nymph,1,OK,90% ethanol,USNMENT00984967,SCBI_007.20170410.HAELEP.N,Lorenza Beati,Georgia Southern University,RNA site-year possibly subsampled in ID lab counts,20201217T223929Z,RELEASE-2021
b5d01339-732a-45b8-a6cc-ce1c9e995dda,SCBI_002.tickPlot.tck,SCBI_002,2017-04-10T18:39:00Z,2018-01-30T17:00:00Z,SCBI_002.20170410,SCBI_002.20170410.AMBAME.N,Amblyomma americanum,AMBAME,species,Ixodidae,NA,NA,NA,Amblyomma,NA,americanum,NA,NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.",GSU_tickIdentification_SOP_2016-11-01.pdf,Linnaeus,Nymph,2,OK,90% ethanol,USNMENT00984971,SCBI_002.20170410.AMBAME.N,Lorenza Beati,Georgia Southern University,RNA,20201217T223929Z,RELEASE-2021
f0709284-684c-4ede-9d59-67b0a1dc575d,SCBI_002.tickPlot.tck,SCBI_002,2017-04-10T18:39:00Z,2018-01-30T17:00:00Z,SCBI_002.20170410,SCBI_002.20170410.AMBAME.M,Amblyomma americanum,AMBAME,species,Ixodidae,NA,NA,NA,Amblyomma,NA,americanum,NA,NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.",GSU_tickIdentification_SOP_2016-11-01.pdf,Linnaeus,Male,1,OK,90% ethanol,USNMENT00984970,SCBI_002.20170410.AMBAME.M,Lorenza Beati,Georgia Southern University,RNA,20201217T223929Z,RELEASE-2021
